					BDI			DI			Rand			Time		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
3	2	1	16	2	17,044075	73,783943	199,338013	0,00144	0,028703	0,106718	0,394205	0,622003	0,737912	0	0	0
3	2	15	16	2	14,150363	129,880142	373,992065	0,002203	0,027433	0,123181	0,341687	0,605515	0,746244	0	0	0
3	2	29	16	2	32,73119	113,452454	343,137268	0,00144	0,019596	0,04384	0,341687	0,572395	0,733367	0	0	0
3	3	1	16	2	17,563507	48,387287	97,588402	0,012312	0,047113	0,106513	0,341687	0,532247	0,725161	0	0	0
3	3	15	16	2	17,563507	58,803505	120,836395	0,008352	0,037133	0,106513	0,341687	0,533996	0,742836	0	0	0
3	3	29	16	2	17,563507	53,458775	120,836395	0,008352	0,04541	0,106513	0,341687	0,537217	0,742836	0	0	0
16	1	1	16	2	11,654259	21,474018	72,401482	0,001545	0,009169	0,025325	0,668539	0,685962	0,705593	0	0	0
16	1	15	16	2	11,654259	20,823881	72,401482	0,000583	0,009273	0,023447	0,676367	0,689863	0,723141	0	0	0
16	1	29	16	2	11,654259	22,574671	72,401482	0,000583	0,009976	0,023948	0,676367	0,689153	0,723141	0	0	0
16	4	1	16	2	3,981755	17,663929	49,98864	0,001088	0,019543	0,060376	0,593423	0,661631	0,733556	0	0	0
16	4	15	16	2	3,981755	27,750248	132,299866	0,001922	0,017815	0,060376	0,620566	0,657548	0,69644	0	0	0
16	4	29	16	2	3,981755	38,02335	139,210037	0,001295	0,013163	0,060376	0,637924	0,671175	0,720237	0	0	0
16	7	1	16	2	2,100763	22,430576	103,336479	0,004302	0,070114	0,213531	0,590582	0,653343	0,708749	0	0	0
16	7	15	16	2	0,842619	27,64517	103,336479	0,004302	0,058053	0,213531	0,588183	0,652723	0,708749	0	0	0
16	7	29	16	2	2,300258	11,227166	35,113976	0,005057	0,07524	0,213531	0,588183	0,641649	0,684194	0	0	0
16	10	1	16	2	1,219584	24,979935	138,578537	0,000378	0,120665	0,396314	0,519631	0,614099	0,731095	0	0	0
16	10	15	16	2	1,412786	7,998689	18,656954	0,023999	0,181598	0,535809	0,532319	0,594101	0,664121	0	0	0
16	10	29	16	2	1,301647	24,044859	138,578537	0,000378	0,146559	0,434247	0,519631	0,612765	0,731095	0	0	0
16	13	1	16	2	1,679472	5,611344	14,051977	0,026835	0,127259	0,262008	0,519189	0,618112	0,711653	0	0	0
16	13	15	16	2	0,988196	9,477773	63,003517	0,003793	0,107412	0,434565	0,519189	0,631741	0,702878	0	0	0
16	13	29	16	2	1,679472	17,795837	63,003517	0,003793	0,087875	0,262008	0,51313	0,62005	0,737975	1	0,2	1
16	16	1	16	2	1,043941	16,862268	71,420296	0,002766	0,090122	0,478475	0,549552	0,616715	0,685078	0	0	0
16	16	15	16	2	1,043941	24,50643	71,420296	0,002766	0,068598	0,478475	0,470837	0,600918	0,685204	0	0	0
16	16	29	16	2	1,043941	17,579462	71,420296	0,002766	0,100818	0,478475	0,533266	0,603266	0,680848	0	0	0
29	1	1	16	2	7,253279	11,258727	21,318254	0,00316	0,013648	0,026571	0,673463	0,676954	0,684194	0	0	0
29	1	15	16	2	7,530367	13,253382	22,636974	0,001522	0,010721	0,026571	0,672137	0,677493	0,69038	0	0	0
29	1	29	16	2	7,282569	14,065683	33,808746	0,001878	0,009722	0,026571	0,67037	0,67676	0,686403	0	0	0
29	8	1	16	2	0,934188	6,591305	23,496344	0,00693	0,07692	0,5079	0,583891	0,649221	0,680407	0	0	0
29	8	15	16	2	1,169534	7,832873	28,205158	0,00318	0,05509	0,135591	0,583891	0,653615	0,679144	0	0	0
29	8	29	16	2	1,686313	6,80872	14,066655	0,00693	0,071322	0,286157	0,583891	0,646691	0,680407	0	0	0
29	15	1	16	2	0,256345	6,05036	30,042696	0,002745	0,151329	0,348525	0,511741	0,608998	0,683815	0	0	0
29	15	15	16	2	0,256345	4,577139	30,042696	0,002745	0,189297	1,58829	0,511741	0,608273	0,683815	0	0	0
29	15	29	16	2	0,256345	4,647552	30,042696	0,002745	0,141969	0,348525	0,501136	0,600126	0,683815	1	0,2	1
29	22	1	16	2	1,617647	2,267713	2,917778	0,080019	0,150263	0,220507	0,489648	0,571388	0,664815	0	0	0
29	22	15	16	2	1,873772	4,475809	12,194457	0,012869	0,086828	0,170281	0,495455	0,574647	0,687161	0	0	0
29	22	29	16	2	1,873772	4,475809	12,194457	0,012869	0,086828	0,170281	0,497412	0,590132	0,687161	0	0	0
29	29	1	16	2	0,683623	3,208232	6,761653	0,019627	0,193145	0,448695	0,353933	0,532107	0,698207	0	0	0
29	29	15	16	2	3,672946	3,672946	3,672946	0,072316	0,072316	0,072316	0,353933	0,525068	0,698207	0	0	0
29	29	29	16	2	0,753733	4,241896	6,761653	0,019627	0,073714	0,27403	0,353933	0,537856	0,698207	0	0	0
42	1	1	16	2	5,272389	7,044186	10,215968	0,003534	0,010857	0,023408	0,669928	0,675751	0,67946	0	0	0
42	1	15	16	2	5,921969	7,550341	13,201605	0,00149	0,011887	0,024868	0,668918	0,67362	0,687855	0	0,2	1
42	1	29	16	2	4,963579	7,705408	15,158231	0,00149	0,011364	0,031652	0,669739	0,676195	0,687855	0	0	0
42	11	1	16	2	0,358318	3,929378	8,37711	0,011364	0,114885	0,50128	0,623406	0,653484	0,678071	0	0	0
42	11	15	16	2	0,58437	3,95683	9,305942	0,011364	0,091426	0,373557	0,622459	0,651212	0,670686	0	0	0
42	11	29	16	2	0,58437	5,780449	25,640095	0,00378	0,057786	0,373557	0,611539	0,658379	0,681543	0	0,2	1
42	21	1	16	2	1,239924	3,381612	6,936679	0,014461	0,104917	0,25168	0,564891	0,621311	0,670938	0	0	0
